	6138
ঐতিহাসিক	6
আছেন	6
ঠেলে	6
সময়ই	6
হন	6
এল	6
সবল	6
চ্যালেঞ্জ	6
তাহির	6
কেমন	6
ওঠে	6
আপনার	6
কই	6
টান	6
গাপটিল	6
নষ্ট	6
গ্লাভসে	6
ফেডারেশন	6
ছিলাম	6
শিক্ষক	6
হক	6
সেন্ট	6
মোট	6
সাব্বির	6
ডানহাতি	6
কীভাবে	6
রান৷	6
ফাস্ট	6
লং	6
একমাত্র	6
কর্মসূচি	6
পার	6
আমিই	6
গানের	6
রেখেছে	6
সমর্থকদের	6
ফেলার	6
গতকাল	6
লাল	6
বিরুদ্ধে	6
সহিংসতার	6
নিউজিল্যান্ডের	6
ওভারপ্রতি	6
আমাকে	6
মঙ্গল	6
প্রভাষক	6
প্রধানমন্ত্রী	6
কুলাসেকারা	6
থাকেন	6
বন্দরে	6
ভারতের	6
বলেন	6
ককটেল	6
শুধু	6
ভূমিকা	6
নবী	6
কার	6
সাঙ্গাকারা	6
দরকার	6
উড়িয়ে	6
করেই	6
সীমানায়	6
কাছ	6
দিয়েছিলেন	6
মধ্যবর্তী	6
এলে	6
নম্বর	6
আসছিল	6
কিছুই	6
সীমানাছাড়া	6
পাচ্ছে	6
ক্ষেত্রে	6
নেইমার	6
রুবেল	6
হওয়ার	6
অব	6
প্রযুক্ত	6
অপু	6
নিজেকে	6
খুঁজে	6
ওভারের	6
টিম	6
বাউন্ডারিতে	6
মতো	6
স্কুলে	6
গ্যালারিতে	6
তাঁদের	6
যাব	6
রাজা	6
সাউদি	6
গত	6
দেয়	6
চাপ	6
হোক	6
জড়তা	6
ফিঞ্চ	6
ম্যাকলাউড	6
দৌড়ে	6
বলেই	6
দলকে	6
ভারত	6
এসব	6
করেছি	6
আক্রমণ	6
আসার	6
দ	6
স্মিথ	6
ফেললেন	6
ফাইন	6
আগের	6
বিশেষ	6
সাঁই	6
দেওয়ার	6
পারছিলেন	6
বক্সে	6
কতজন	6
সেঞ্চুরি	6
আদায়	6
খারাপ	6
অস্ট্রেলিয়া	6
হাসি	6
অনুশীলন	6
নো	6
বানিয়ে	6
ডাকে	6
অথবা	5
শক্ত	5
জাতীয়	5
এক্সট্রা	5
কেবল	5
আলোকে	5
নেওয়ার	5
পাঠিয়ে	5
সবই	5
তুমি	5
বোলাররা	5
আকর্ষণ	5
তীব্রতা	5
তাইজুল	5
জানান	5
বিপর্যয়	5
বলতে	5
গোলরক্ষককে	5
ফেললে	5
আশা	5
সামর্থ্যের	5
নিই	5
সময়ের	5
অভিকর্ষ	5
বেরিয়ে	5
আপনি	5
বিস্ফোরণ	5
পেসাররা	5
নির্দিষ্ট	5
ডেকে	5
পরিষ্কার	5
লাফিয়ে	5
খেলতেই	5
পেয়েও	5
কানায়	5
লম্বা	5
ঘটেছে	5
ভেতরে	5
করছিলেন	5
ঘটে	5
উঠছিল	5
লাগবে	5
বার্সার	5
অনুভব	4
নিয়ন্ত্রণে	4
উঠছেন	4
জুটি	4
লিখবে	4
জয়াবর্ধনে	4
বিশ্বসেরা	4
পড়েন	4
ঢাকা	4
খেলোয়াড়দের	4
অবরোধ	4
প্রিয়	4
গ্রন্থ	4
দুর্দমনীয়	4
উপজেলার	4
স্মরণীয়	4
বিভিন্ন	4
যাবেন	4
ম্যান	4
কতটা	4
শরীরের	4
টিভি	4
সরকারের	4
পুষিয়ে	4
বিয়ে	4
ভিলিয়ার্সের	4
পারি	4
তখনই	4
অনুচ্ছেদটি	4
স্থানে	4
এলেন	4
খেলায়	4
উৎসব	4
মাটিতে	4
আলাদা	4
সাইডে	4
মোট	4
উঠতে	4
৷	4
মেডেন	4
ইভানস	4
কাট	4
ফিরতি	4
চাপে	4
যতটা	4
ষড়রিপুর	4
ক্যাচমতো	4
হয়েছেন	4
ইংলিশ	4
এলচের	4
করায়	4
আশরাফ	4
পরিমাণের	4
কঠিন	4
তৃতীয়	4
মোকাবিলা	4
মিলে	4
সবাইকে	4
চেয়েছিলাম	4
অ্যান্ডারসন	4
পৌঁছে	4
বৃহস্পতিবার	4
ক্ষমতার	4
দিচ্ছেন	4
মার্টিন	4
লাভ	4
অল্পের	4
শটে	4
ওয়াটলিং	4
আছড়ে	4
দুটো	4
জয়েস	4
পথিকের	4
ভুলে	4
থামিয়ে	4
রিচি	4
চন্ডিকা	4
নিল	4
পাঠিয়েছেন	4
কখনো	4
জিতে	4
মিনিট	4
বোলারের	4
পজেশনে	4
এউইন	4
প্রস্তুত	4
শাকিব	4
ফিল্ডিং	4
গড়া	4
নেয়	4
লাগানোর	4
মুশফিক	4
বোলারের	4
হুক	4
দেবেন	4
শিখেছে	4
ডাকতেন	4
বোতাম	4
মুখোমুখি	4
দেখেশুনে	4
পানি	4
কিছুটা	4
দেখানোর	4
করেও	4
ঢের	4
ঋদ্ধিমান	4
লোপ্পা	4
আসবেই	4
ঘুরে	4
পোস্টের	4
টেলর	4
ভাঁটা	4
মারে	4
আসবে	4
যাচ্ছিলেন	4
ওপরের	4
সি	4
ভাইয়ের	4
অলআউট	4
ঠেলতে	4
লেখেন	4
গাইলেন	4
যেতে	4
শুরুটা	4
কখনোই	4
আসেন	4
প্রায়	4
সাত	4
ক্যামেরন	4
কেয়ামত	4
উইলিয়ামসন	4
টোয়েন্টি	4
চারের	4
নাচছি	4
একবার	4
মাঝে	4
জাহাজ	4
ব্রেসওয়েল	4
পারবে	4
দম	4
মার্শ	4
প্রতিক্রিয়া	4
থ্রু	4
আমরাই	4
আড্ডা	4
করলেই	4
দাঁড়িয়ে	4
সম্ভাবনা	4
মান	4
একে	4
জিতেছে	4
মধ্যভাগ	4
গলে	4
কমলা	4
গোলমুখে	4
নিয়েও	4
পারেনি	4
ক্ষমতায়	4
পারলে	4
খাতা	4
দিয়েও	4
সাহেব	4
তাড়া	4
বন্ধুরা	4
গুগলি	4
সেকি	4
পাঠান	4
বরং	4
আশঙ্কা	4
উপায়	4
এখনো	4
লারার	4
মুহূর্ত	4
মরগানকেও	4
ভিলিয়ার্স	4
জামাল	4
কাজটা	4
এবার	4
হাথুরুসিংহে	4
বুঝে	4
ভূতের	4
ইচ্ছা	4
বাড়ান	4
যাঁর	4
বেঁচে	4
লাগলে	4
সমাজ	4
করাই	4
মাহমুদউল্লাহ	4
প্রতিপক্ষকে	4
দওলত	4
অতিক্রম	4
অশ্বিন	4
করুক	4
সেভাবে	4
বাড়ি	4
সুনীল	4
চাবি	4
পারছে	4
ঢুকতে	4
দাঁড়িয়ে	4
নিহত	4
তাড়িত	4
ব্রেট	4
আসে৷	4
খোলার	4
সবুজ	4
ছয়জন	4
বৃত্তের	4
তোলেন	4
মুশফিকুর	4
ডুবে	4
চেয়েও	4
প্রভাব	4
শেখ	4
দাশ	4
ওয়াটসন	4
ব্রায়ান	4
ফিরে	4
প্রান্তে	4
অ্যামব্রোসকে	4
অমিত	4
পাশে	4
মত	4
করবেই	4
ব্রেন্ডন	4
সালের	4
জিতল	4
ম্যাচে	4
কোচ	4
কবিতাই	4
জ্যাক	4
আগুন	4
লাসিথ	4
ব্যাটসম্যানকে	4
সম্পর্কে	4
সামলাতে	4
শখের	4
নামা	4
খেয়ে	4
মাহেলা	4
অবস্থান	4
যায়৷	4
নিজে	4
সমস্যার	4
জিতিয়ে	4
খুচরা	4
নিচু	4
মানে	4
গল্প	4
ঘর	4
সম্বতি	4
যারা	4
পাইছি	4
খেলতেও	4
আঘাত	4
পড়ো	4
ব্লক	4
হিসেবেই	4
ফিল্ডারের	4
ইত্যাদি	4
বলব	4
শামীম	4
উইঙ্গার	4
একেবারে	4
ওকে	4
বলতেন	4
সকালে	4
কৃষি	4
হয়৷	4
শতাব্দীর	4
পুরোপুরি	4
কবে	4
অধ্যায়	4
কাঁধে	4
খেলি	4
নামে	4
ডেড	4
বলকে	4
ফল	4
ইনিংসের	4
অভিযুক্ত	4
খেলেছিলেন	4
গুটিয়ে	4
পন্টিংয়ের	4
তিনটি	4
